dataset,architecture,window_size,filter,train_mse,train_std,val_mse,val_std
lbl_tcp_3,lstm_vanilla_windowed,16,sma,0.038777598452451795,0.005709689577068729,0.41860009292910866,0.005154901588631815
lbl_tcp_3,lstm_vanilla_windowed,32,sma,0.015038682962893308,0.003437609606614574,0.5175504293392292,0.007305810259058401
lbl_tcp_3,lstm_vanilla_windowed,64,sma,0.008845001521566264,0.003098514766692607,0.4584755353468258,0.006126746547501698
lbl_tcp_3,lstm_vanilla_windowed,128,sma,0.0076553602702098015,0.0023822493401908086,0.4704042570782872,0.011541343984062116
lbl_tcp_3,lstm_vanilla_stateless_windowed,1,sma,0.43775570170880307,0.00014775780632923782,0.29437482804059983,0.0004773882928640233
lbl_tcp_3,lstm_vanilla_stateless_windowed,2,sma,0.4279454177336448,0.00028826166623825033,0.2985359102487564,0.0011216240036347163
lbl_tcp_3,lstm_vanilla_stateless_windowed,4,sma,0.41005062811354787,0.000639509594860304,0.2883807450532913,0.0012043413349906533
lbl_tcp_3,lstm_vanilla_stateless_windowed,8,sma,0.37254738273344856,0.0025802747568176173,0.27321760505437853,0.0032443259967359435
lbl_tcp_3,lstm_vanilla_stateless_windowed,16,sma,0.34960235383859867,0.005982066552539333,0.28232903480529786,0.0036396747170257698
lbl_tcp_3,lstm_vanilla_stateless_windowed,32,sma,0.3203253264196765,0.00749683971592425,0.2768345907330513,0.00479439916796847
lbl_tcp_3,lstm_vanilla_stateless_windowed,64,sma,0.33659753266158976,0.0033400259524950077,0.29367481023073194,0.006465382472877555
lbl_tcp_3,lstm_vanilla_stateless_windowed,128,sma,0.3194653096363094,0.0036255825294995423,0.29588050246238706,0.005273294935807505
mackey_glass,lstm_vanilla_windowed,1,sma,0.0002445881104805387,0.00014934862042418603,0.010450915829578415,0.000558820356251134
mackey_glass,lstm_vanilla_windowed,2,sma,0.00010863488936406697,5.87893389500293e-05,0.011916292694085144,0.00020050291752490534
mackey_glass,lstm_vanilla_windowed,4,sma,0.00015903012638174041,7.179219459560925e-05,0.007628843937274891,0.00023237062139741372
mackey_glass,lstm_vanilla_windowed,8,sma,0.00014925055451075803,0.00010251597843304414,0.0014974366595197355,4.4813331317439114e-05
mackey_glass,lstm_vanilla_windowed,16,sma,0.00016784899737803862,5.2906284839739e-05,0.0016959824356629744,9.68384476323559e-05
mackey_glass,lstm_vanilla_windowed,32,sma,0.00012173906090785192,0.0001006104110251891,0.001039353097765789,0.00012034140927674428
mackey_glass,lstm_vanilla_windowed,64,sma,0.00047099932899512514,0.0003355245161214255,0.0010199812385043759,0.0004961765828779633
mackey_glass,lstm_vanilla_windowed,128,sma,0.0008732246042965263,0.0005326973986212725,0.0006400922883687988,0.000391449175732978
mackey_glass,lstm_vanilla_stateless_windowed,1,sma,0.021778779390060544,3.3232821779858117e-06,0.02147463010624051,7.891087653435045e-06
mackey_glass,lstm_vanilla_stateless_windowed,2,sma,0.03420469698295923,0.002562629264610482,0.03370052184909582,0.0025206384855796897
mackey_glass,lstm_vanilla_stateless_windowed,4,sma,0.005134344985439426,6.894156675072058e-05,0.00462875384837389,0.00011187110387069725
mackey_glass,lstm_vanilla_stateless_windowed,8,sma,0.003551205140606,8.06649242333659e-05,0.0035497732227668167,8.557898164221665e-05
mackey_glass,lstm_vanilla_stateless_windowed,16,sma,0.0012216072639605875,0.00011351126916509937,0.0011393348569981754,0.0001832466393666997
mackey_glass,lstm_vanilla_stateless_windowed,32,sma,0.00034042771315513935,2.6851179217561416e-05,0.00036745218676514924,3.302813485146585e-05
mackey_glass,lstm_vanilla_stateless_windowed,64,sma,0.0004926637965815459,3.061029804812073e-05,0.0006942993408301845,7.092979444808899e-05
mackey_glass,lstm_vanilla_stateless_windowed,128,sma,0.0005234048693184002,3.380706804192356e-05,0.0006433408008888364,7.211651921590412e-05
