scenario,signal,seed,auc,spearman,det_lag,miss_rate,regime_gap
phi_switch,mi_knn,1,0.8515694936799513,0.6059502040200023,60.0,0.0,0.3606687716831967
phi_switch,ks_shift,1,0.39717548819676185,-0.17666509232500363,15.5,0.14285714285714285,-0.02482768127929419
phi_switch,ewacf_mean,2,0.9489823384163008,0.7771681013584271,25.0,0.14285714285714285,0.31519945998182514
phi_switch,ewacf_max,2,0.9603769815090569,0.7968917126908697,8.0,0.0,0.4236400585033031
phi_switch,mi_knn,2,0.9006344588744588,0.6938647554266287,33.0,0.0,0.40609253477287344
phi_switch,ks_shift,2,0.25122736418511066,-0.4306256105823438,28.5,0.42857142857142855,-0.10328082433997926
phi_switch,ewacf_mean,3,0.9561240778724309,0.789611082490734,16.0,0.14285714285714285,0.3402100095981123
phi_switch,ewacf_max,3,0.9766309336344547,0.8251111610828515,23.0,0.0,0.4414666106671835
phi_switch,mi_knn,3,0.8553286622837825,0.6153676387928029,50.0,0.0,0.35478873218457446
phi_switch,ks_shift,3,0.3059889242752871,-0.33581539892538376,30.0,0.42857142857142855,-0.06613217234460761
phi_switch,ewacf_mean,4,0.9674454263064042,0.8069350363556695,18.0,0.0,0.35790618459575074
phi_switch,ewacf_max,4,0.9766028452181419,0.8227431750395451,3.0,0.0,0.45557018399886434
phi_switch,mi_knn,4,0.8593623760959265,0.6220490680397849,23.0,0.0,0.3878634134171147
phi_switch,ks_shift,4,0.417941208183832,-0.14215999666531648,44.0,0.5714285714285714,-0.03074673069544806
mean_shift,ewacf_mean,0,,,1.5,0.7142857142857143,-0.044816799370558325
mean_shift,ewacf_max,0,,,0.0,0.5714285714285714,-0.034004835258538535
mean_shift,mi_knn,0,,,20.5,0.14285714285714285,-0.06467517511771559
mean_shift,ks_shift,0,,,62.0,0.0,0.06674908424908427
mean_shift,ewacf_mean,1,,,4.5,0.42857142857142855,-0.016553480973935386
mean_shift,ewacf_max,1,,,64.0,0.8571428571428571,-0.02808206959869944
mean_shift,mi_knn,1,,,20.0,0.0,-0.02007989654118697
mean_shift,ks_shift,1,,,62.5,0.14285714285714285,0.0017239794770384509
mean_shift,ewacf_mean,2,,,6.0,0.5714285714285714,-0.01090514150840649
mean_shift,ewacf_max,2,,,0.0,0.2857142857142857,-0.016397422999880423
mean_shift,mi_knn,2,,,21.0,0.0,-0.024434423326449073
mean_shift,ks_shift,2,,,53.0,0.0,0.047270385952076055
mean_shift,ewacf_mean,3,,,0.0,0.7142857142857143,0.01909255089212769
mean_shift,ewacf_max,3,,,0.0,0.2857142857142857,0.014595510974248022
mean_shift,mi_knn,3,,,6.0,0.0,0.007750111294469397
mean_shift,ks_shift,3,,,80.0,0.0,0.02478227314168474
mean_shift,ewacf_mean,4,,,15.0,0.8571428571428571,0.004646418865053348
mean_shift,ewacf_max,4,,,0.0,0.14285714285714285,0.005284295025601238
mean_shift,mi_knn,4,,,27.0,0.0,-0.02275596935010074
mean_shift,ks_shift,4,,,64.5,0.14285714285714285,0.05844322086900344
var_shift,ewacf_mean,0,,,50.0,0.8571428571428571,-0.03854535894395561
var_shift,ewacf_max,0,,,10.0,0.7142857142857143,-0.02596978090545618
var_shift,mi_knn,0,,,27.5,0.42857142857142855,-0.06747593667577917
var_shift,ks_shift,0,,,50.0,0.14285714285714285,0.02108974358974358
var_shift,ewacf_mean,1,,,18.0,0.5714285714285714,-0.021944612027507082
var_shift,ewacf_max,1,,,64.0,0.8571428571428571,-0.03174742401423916
var_shift,mi_knn,1,,,66.0,0.2857142857142857,-0.05266650659648664
var_shift,ks_shift,1,,,38.0,0.5714285714285714,0.01691440948949291
var_shift,ewacf_mean,2,,,60.0,0.5714285714285714,-0.012580518737244417
var_shift,ewacf_max,2,,,7.0,0.0,-0.011442661157891498
var_shift,mi_knn,2,,,22.5,0.7142857142857143,-0.002950200958848903
var_shift,ks_shift,2,,,56.0,0.42857142857142855,0.003225754527163005
var_shift,ewacf_mean,3,,,,1.0,0.021675614354163653
var_shift,ewacf_max,3,,,8.5,0.42857142857142855,0.016210887642328725
var_shift,mi_knn,3,,,26.0,0.2857142857142857,0.014125828356116976
var_shift,ks_shift,3,,,105.0,0.7142857142857143,0.020653832908999054
var_shift,ewacf_mean,4,,,8.0,0.7142857142857143,0.01847129718715096
var_shift,ewacf_max,4,,,0.0,0.2857142857142857,0.013097543337093953
var_shift,mi_knn,4,,,36.5,0.14285714285714285,-0.006379574825332579
var_shift,ks_shift,4,,,22.0,0.7142857142857143,0.015329378190493403
periodic_noise_switch,ewacf_mean,0,0.990638850100176,0.8465013252104117,6.0,0.0,0.35007722296656496
periodic_noise_switch,ewacf_max,0,0.990023627385506,0.8454398788459413,5.0,0.0,0.42373624222696393
periodic_noise_switch,mi_knn,0,0.8746198246198246,0.6482874275622126,21.0,0.0,0.29743459579179377
periodic_noise_switch,ks_shift,0,0.6387501461304652,0.24083562977646866,17.0,0.2857142857142857,0.018592081677188066
periodic_noise_switch,ewacf_mean,1,0.9866843648378891,0.8420661654868157,7.0,0.0,0.36259284051907426
periodic_noise_switch,ewacf_max,1,0.9857720387005378,0.8404876496608371,10.0,0.0,0.41931549638961696
periodic_noise_switch,mi_knn,1,0.8950869678089304,0.6809610628755918,30.0,0.0,0.31664259463134486
periodic_noise_switch,ks_shift,1,0.5333510999876406,0.05744877411082308,90.0,0.2857142857142857,0.0033185812663009545
periodic_noise_switch,ewacf_mean,2,0.989116041191513,0.8466377239193369,7.0,0.0,0.36474435387069426
